Frame 6400: Character pos=(0.0, 0.0, 0.0), Room=36609, Speed=0.00, Time=11723376
Frame 6500: Character pos=(0.0, 0.0, 0.0), Room=37829, Speed=0.00, Time=11723376
Frame 6600: Character pos=(0.0, 0.0, 0.0), Room=38320, Speed=0.00, Time=11723376
Frame 6700: Character pos=(0.0, 0.0, 0.0), Room=39339, Speed=0.00, Time=11723376
Frame 6800: Character pos=(0.0, 0.0, 0.0), Room=40205, Speed=0.00, Time=11723376
Frame 6900: Character pos=(0.0, 0.0, 0.0), Room=40798, Speed=0.00, Time=11723376
Frame 7000: Character pos=(0.0, 0.0, 0.0), Room=41633, Speed=0.00, Time=11723376
Frame 7100: Character pos=(0.0, 0.0, 0.0), Room=42294, Speed=0.00, Time=11723376
Frame 7200: Character pos=(0.0, 0.0, 0.0), Room=43067, Speed=0.00, Time=11723376
Frame 7300: Character pos=(0.0, 0.0, 0.0), Room=43825, Speed=0.00, Time=11723376
Frame 7400: Character pos=(0.0, 0.0, 0.0), Room=45141, Speed=0.00, Time=11723376
Frame 7500: Character pos=(0.0, 0.0, 0.0), Room=45997, Speed=0.00, Time=11723376
Frame 7600: Character pos=(0.0, 0.0, 0.0), Room=46623, Speed=0.00, Time=11723376
Frame 7700: Character pos=(0.0, 0.0, 0.0), Room=48122, Speed=0.00, Time=11723376
Frame 7800: Character pos=(0.0, 0.0, 0.0), Room=50913, Speed=0.00, Time=11723376
Frame 7900: Character pos=(0.0, 0.0, 0.0), Room=51963, Speed=0.00, Time=11723376
Frame 8000: Character pos=(0.0, 0.0, 0.0), Room=52441, Speed=0.00, Time=11723376
Frame 8100: Character pos=(0.0, 0.0, 0.0), Room=52929, Speed=0.00, Time=11723376
Frame 8200: Character pos=(0.0, 0.0, 0.0), Room=53479, Speed=0.00, Time=11723376
Frame 8300: Character pos=(0.0, 0.0, 0.0), Room=54005, Speed=0.00, Time=11723376
Frame 8400: Character pos=(0.0, 0.0, 0.0), Room=54543, Speed=0.00, Time=11723376
Frame 8500: Character pos=(0.0, 0.0, 0.0), Room=55057, Speed=0.00, Time=11723376
Frame 8600: Character pos=(0.0, 0.0, 0.0), Room=55611, Speed=0.00, Time=11723376
Frame 8700: Character pos=(0.0, 0.0, 0.0), Room=56136, Speed=0.00, Time=11723376
Frame 8800: Character pos=(0.0, 0.0, 0.0), Room=56704, Speed=0.00, Time=11723376
Frame 8900: Character pos=(0.0, 0.0, 0.0), Room=57369, Speed=0.00, Time=11723376
Frame 9000: Character pos=(0.0, 0.0, 0.0), Room=57968, Speed=0.00, Time=11723376
Frame 0: Character pos=(0.0, 0.0, 0.0), Room=-5994, Speed=0.00, Time=6583576
Frame 100: Character pos=(0.0, 0.0, 0.0), Room=-5570, Speed=0.00, Time=6583576
Frame 200: Character pos=(0.0, 0.0, 0.0), Room=-5072, Speed=0.00, Time=6583576
Frame 300: Character pos=(0.0, 0.0, 0.0), Room=-4567, Speed=0.00, Time=6583576
Frame 400: Character pos=(0.0, 0.0, 0.0), Room=-4087, Speed=0.00, Time=6583576
Frame 500: Character pos=(0.0, 0.0, 0.0), Room=-3641, Speed=0.00, Time=6583576
Frame 600: Character pos=(0.0, 0.0, 0.0), Room=-3126, Speed=0.00, Time=6583576
Frame 700: Character pos=(0.0, 0.0, 0.0), Room=-2610, Speed=0.00, Time=6583576
Frame 800: Character pos=(0.0, 0.0, 0.0), Room=-2065, Speed=0.00, Time=6583576
Frame 900: Character pos=(0.0, 0.0, 0.0), Room=-1508, Speed=0.00, Time=6583576
Frame 1000: Character pos=(0.0, 0.0, 0.0), Room=-1085, Speed=0.00, Time=6583576
Frame 1100: Character pos=(0.0, 0.0, 0.0), Room=-660, Speed=0.00, Time=6583576
Frame 1200: Character pos=(0.0, 0.0, 0.0), Room=-257, Speed=0.00, Time=6583576
Frame 1300: Character pos=(0.0, 0.0, 0.0), Room=143, Speed=0.00, Time=6583576
Frame 1400: Character pos=(0.0, 0.0, 0.0), Room=548, Speed=0.00, Time=6583576
Frame 1500: Character pos=(0.0, 0.0, 0.0), Room=939, Speed=0.00, Time=6583576
Frame 1600: Character pos=(0.0, 0.0, 0.0), Room=1363, Speed=0.00, Time=6583576
Frame 1700: Character pos=(0.0, 0.0, 0.0), Room=1812, Speed=0.00, Time=6583576
Frame 1800: Character pos=(0.0, 0.0, 0.0), Room=2212, Speed=0.00, Time=6583576
Frame 1900: Character pos=(0.0, 0.0, 0.0), Room=2626, Speed=0.00, Time=6583576
Frame 2000: Character pos=(0.0, 0.0, 0.0), Room=3065, Speed=0.00, Time=6583576
