[SetControlState #61] pTime=-5857, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #62] pTime=-5857, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #63] pTime=-5852, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #64] pTime=-5852, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #65] pTime=-5852, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #66] pTime=-5852, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #67] pTime=-5846, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #68] pTime=-5846, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #69] pTime=-5841, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #70] pTime=-5841, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #71] pTime=-5841, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #72] pTime=-5841, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #73] pTime=-5841, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #74] pTime=-5836, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #75] pTime=-5836, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #76] pTime=-5836, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #77] pTime=-5828, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #78] pTime=-5828, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #79] pTime=-5828, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #80] pTime=-5823, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #81] pTime=-5823, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #82] pTime=-5823, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #83] pTime=-5818, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #84] pTime=-5818, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #85] pTime=-5805, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #86] pTime=-5805, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #87] pTime=-5805, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #88] pTime=-5805, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #89] pTime=-5800, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #90] pTime=-5800, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #91] pTime=-5795, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #92] pTime=-5795, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #93] pTime=-5795, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #94] pTime=-5790, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #95] pTime=-5790, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #96] pTime=-5790, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #97] pTime=-5790, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #98] pTime=-5785, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #99] pTime=-5785, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #100] pTime=-5785, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #101] pTime=-5785, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #102] pTime=-5779, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #103] pTime=-5779, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #104] pTime=-5779, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #105] pTime=-5774, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #106] pTime=-5774, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #107] pTime=-5774, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #108] pTime=-5769, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #109] pTime=-5769, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #110] pTime=-5769, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #111] pTime=-5762, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #112] pTime=-5762, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #113] pTime=-5762, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #114] pTime=-5757, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #115] pTime=-5757, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
[SetControlState #116] pTime=-5757, pState=0, mControlState=1024, mHoverModel=0, eRight=0, eLeft=0
