Frame 1: RenderNormalDisplay called with char=050B1F90, room=0, pos=(0.0,-600672148383201648607587107960090675938397799568313348009300885841140219466273024603635959973530539757212564621359246158865038906048366307247556745765160868665924205964379280042989243452489937719606860443521291534614729381443900021145234139067931984951317884402114965664554713480167424.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 100: RenderNormalDisplay called with char=050B1F90, room=0, pos=(0.0,-10816005976615133460927032375599451412127876718133406237278485165323017223027142417194088081877049564617813460721301683076982348460498821106671093085379463098882819300077683386784465082051731929648403511055237147845575592897759208984884155579388770481160842947197223596996800686046966159340490354327552.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 0: RenderNormalDisplay called with char=014EF360, room=0, pos=(0.0,-1771015682448502863645820050388613114331407424586883163955806829825914756361742221313845064216000436047637161056370113095814170714355398318567387260436854408740864.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 100: RenderNormalDisplay called with char=014EF360, room=0, pos=(0.0,-4912787350138529277542214121485376034724605739045648508562534309816182393052850665668661756582386635480328833221110147334766638840168939137640437415294826829838313659791449103131475968.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 200: RenderNormalDisplay called with char=014EF360, room=0, pos=(0.0,-4912787350138529277542214121485376034724605739045648508562534309816182393052850665668661756582386635480328833221110147334766638840168939137640437415294826829838313659791449103131475968.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 300: RenderNormalDisplay called with char=014EF360, room=0, pos=(0.0,-1771015682448502863645820050388613114331407424586883163955806829825914756361742221313845064216000436047637161056370113095814170714355398318567387260436854408740864.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 400: RenderNormalDisplay called with char=014EF360, room=0, pos=(0.0,-1771015682448502863645820050388613114331407424586883163955806829825914756361742221313845064216000436047637161056370113095814170714355398318567387260436854408740864.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 500: RenderNormalDisplay called with char=014EF360, room=0, pos=(0.0,-4912787350138529277542214121485376034724605739045648508562534309816182393052850665668661756582386635480328833221110147334766638840168939137640437415294826829838313659791449103131475968.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 0: RenderNormalDisplay called with char=015DA200, room=0, pos=(0.0,0.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 100: RenderNormalDisplay called with char=015DA200, room=0, pos=(0.0,0.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 0: RenderNormalDisplay called with char=0141A010, room=0, pos=(0.0,0.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 100: RenderNormalDisplay called with char=0141A010, room=0, pos=(0.0,0.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 200: RenderNormalDisplay called with char=0141A010, room=0, pos=(0.0,0.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 300: RenderNormalDisplay called with char=0141A010, room=0, pos=(0.0,0.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 400: RenderNormalDisplay called with char=0141A010, room=0, pos=(0.0,0.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
Frame 500: RenderNormalDisplay called with char=0141A010, room=0, pos=(0.0,0.0,1536601993357770328999135123326045509094727735805089456504884021901441859500169476908531950225051801259954992876620079259080402613368700536187153476605847234515944440181904849319731844729278211333278247016623825857703466649603959815459794684878919315415079917191168.0)
